author;title;state;district;type;date;subjects;description
Àbíké-Íyímídé, Faridah;Ace of Spades;Florida;Indian River County School District;Banned from Libraries and Classrooms;Nov.21;Contemporary;Gossip Girl meets Get Out in Ace of Spades, a YA contemporary thriller by debut author Faridah Àbíké-Íyímídé about two students, Devon & Chiamaka, and their struggles against an anonymous bully.<br/><br/>All you need to know is . . . I’m here to divide and conquer. Like all great tyrants do. ―Aces<br/><br/>When two Niveus Private Academy students, Devon Richards and Chiamaka Adebayo, are selected to be part of the elite school’s senior class prefects, it looks like their year is off to an amazing start. After all, not only does it look great on college applications, but it officially puts each of them in the running for valedictorian, too.<br/><br/>Shortly after the announcement is made, though, someone who goes by Aces begins using anonymous text messages to reveal secrets about the two of them that turn their lives upside down and threaten every aspect of their carefully planned futures.<br/><br/>As Aces shows no sign of stopping, what seemed like a sick prank quickly turns into a dangerous game, with all the cards stacked against them. Can Devon and Chiamaka stop Aces before things become incredibly deadly?<br/><br/>With heart-pounding suspense and relevant social commentary comes a high-octane thriller from debut author Faridah Àbíké-Íyímídé.
Acevedo, Elizabeth;Clap When You Land;Pennsylvania;Central York School District;Banned from Classrooms;Aug.21;Coming Of Age;"In a novel-in-verse that brims with grief and love, National Book Award-winning and New York Times bestselling author Elizabeth Acevedo writes about the devastation of loss, the difficulty of forgiveness, and the bittersweet bonds that shape our lives.<br/>Camino Rios lives for the summers when her father visits her in the Dominican Republic. But this time, on the day when his plane is supposed to land, Camino arrives at the airport to see crowds of crying people…<br/>In New York City, Yahaira Rios is called to the principal’s office, where her mother is waiting to tell her that her father, her hero, has died in a plane crash.<br/>Separated by distance—and Papi’s secrets—the two girls are forced to face a new reality in which their father is dead and their lives are forever altered.<br/>And then, when it seems like they’ve lost everything of their father, they learn of each other.<br/>Great for summer reading or anytime! Clap When You Land is a Today show pick for “25 children’s books your kids and teens won’t be able to put down this summer!""<br/>Plus don't miss Elizabeth Acevedo's The Poet X and With the Fire on High!"
Acevedo, Elizabeth;The Poet X;Florida;Indian River County School District;Banned from Libraries;Nov.21;Coming Of Age;Winner of the National Book Award for Young People’s Literature, the Michael L. Printz Award, and the Pura Belpré Award!<br/>Fans of Jacqueline Woodson, Meg Medina, and Jason Reynolds will fall hard for this astonishing New York Times-bestselling novel-in-verse by an award-winning slam poet, about an Afro-Latina heroine who tells her story with blazing words and powerful truth.<br/>Xiomara Batista feels unheard and unable to hide in her Harlem neighborhood. Ever since her body grew into curves, she has learned to let her fists and her fierceness do the talking.<br/>But Xiomara has plenty she wants to say, and she pours all her frustration and passion onto the pages of a leather notebook, reciting the words to herself like prayers—especially after she catches feelings for a boy in her bio class named Aman, who her family can never know about.<br/>With Mami’s determination to force her daughter to obey the laws of the church, Xiomara understands that her thoughts are best kept to herself. So when she is invited to join her school’s slam poetry club, she doesn’t know how she could ever attend without her mami finding out. But she still can’t stop thinking about performing her poems.<br/>Because in the face of a world that may not want to hear her, Xiomara refuses to be silent.<br/>“Crackles with energy and snaps with authenticity and voice.” —Justina Ireland, author of Dread Nation<br/>“An incredibly potent debut.” —Jason Reynolds, author of the National Book Award Finalist Ghost<br/>“Acevedo has amplified the voices of girls en el barrio who are equal parts goddess, saint, warrior, and hero.” —Ibi Zoboi, author of American Street<br/>This young adult novel, a selection of the Schomburg Center's Black Liberation Reading List, is an excellent choice for accelerated tween readers in grades 6 to 8.<br/>Plus don't miss Elizabeth Acevedo's With the Fire on High and Clap When You Land!
Acevedo, Elizabeth;The Poet X;New York;Marlboro Central School District;Banned from Libraries and Classrooms;Feb.22;Coming Of Age;Winner of the National Book Award for Young People’s Literature, the Michael L. Printz Award, and the Pura Belpré Award!<br/>Fans of Jacqueline Woodson, Meg Medina, and Jason Reynolds will fall hard for this astonishing New York Times-bestselling novel-in-verse by an award-winning slam poet, about an Afro-Latina heroine who tells her story with blazing words and powerful truth.<br/>Xiomara Batista feels unheard and unable to hide in her Harlem neighborhood. Ever since her body grew into curves, she has learned to let her fists and her fierceness do the talking.<br/>But Xiomara has plenty she wants to say, and she pours all her frustration and passion onto the pages of a leather notebook, reciting the words to herself like prayers—especially after she catches feelings for a boy in her bio class named Aman, who her family can never know about.<br/>With Mami’s determination to force her daughter to obey the laws of the church, Xiomara understands that her thoughts are best kept to herself. So when she is invited to join her school’s slam poetry club, she doesn’t know how she could ever attend without her mami finding out. But she still can’t stop thinking about performing her poems.<br/>Because in the face of a world that may not want to hear her, Xiomara refuses to be silent.<br/>“Crackles with energy and snaps with authenticity and voice.” —Justina Ireland, author of Dread Nation<br/>“An incredibly potent debut.” —Jason Reynolds, author of the National Book Award Finalist Ghost<br/>“Acevedo has amplified the voices of girls en el barrio who are equal parts goddess, saint, warrior, and hero.” —Ibi Zoboi, author of American Street<br/>This young adult novel, a selection of the Schomburg Center's Black Liberation Reading List, is an excellent choice for accelerated tween readers in grades 6 to 8.<br/>Plus don't miss Elizabeth Acevedo's With the Fire on High and Clap When You Land!
Acevedo, Elizabeth;The Poet X;Texas;Fredericksburg Independent School District;Banned Pending Investigation;Mar.22;Coming Of Age;Winner of the National Book Award for Young People’s Literature, the Michael L. Printz Award, and the Pura Belpré Award!<br/>Fans of Jacqueline Woodson, Meg Medina, and Jason Reynolds will fall hard for this astonishing New York Times-bestselling novel-in-verse by an award-winning slam poet, about an Afro-Latina heroine who tells her story with blazing words and powerful truth.<br/>Xiomara Batista feels unheard and unable to hide in her Harlem neighborhood. Ever since her body grew into curves, she has learned to let her fists and her fierceness do the talking.<br/>But Xiomara has plenty she wants to say, and she pours all her frustration and passion onto the pages of a leather notebook, reciting the words to herself like prayers—especially after she catches feelings for a boy in her bio class named Aman, who her family can never know about.<br/>With Mami’s determination to force her daughter to obey the laws of the church, Xiomara understands that her thoughts are best kept to herself. So when she is invited to join her school’s slam poetry club, she doesn’t know how she could ever attend without her mami finding out. But she still can’t stop thinking about performing her poems.<br/>Because in the face of a world that may not want to hear her, Xiomara refuses to be silent.<br/>“Crackles with energy and snaps with authenticity and voice.” —Justina Ireland, author of Dread Nation<br/>“An incredibly potent debut.” —Jason Reynolds, author of the National Book Award Finalist Ghost<br/>“Acevedo has amplified the voices of girls en el barrio who are equal parts goddess, saint, warrior, and hero.” —Ibi Zoboi, author of American Street<br/>This young adult novel, a selection of the Schomburg Center's Black Liberation Reading List, is an excellent choice for accelerated tween readers in grades 6 to 8.<br/>Plus don't miss Elizabeth Acevedo's With the Fire on High and Clap When You Land!
Acevedo, Elizabeth;The Poet X;Virginia;New Kent County Public Schools;Banned from Libraries;Oct.21;Coming Of Age;Winner of the National Book Award for Young People’s Literature, the Michael L. Printz Award, and the Pura Belpré Award!<br/>Fans of Jacqueline Woodson, Meg Medina, and Jason Reynolds will fall hard for this astonishing New York Times-bestselling novel-in-verse by an award-winning slam poet, about an Afro-Latina heroine who tells her story with blazing words and powerful truth.<br/>Xiomara Batista feels unheard and unable to hide in her Harlem neighborhood. Ever since her body grew into curves, she has learned to let her fists and her fierceness do the talking.<br/>But Xiomara has plenty she wants to say, and she pours all her frustration and passion onto the pages of a leather notebook, reciting the words to herself like prayers—especially after she catches feelings for a boy in her bio class named Aman, who her family can never know about.<br/>With Mami’s determination to force her daughter to obey the laws of the church, Xiomara understands that her thoughts are best kept to herself. So when she is invited to join her school’s slam poetry club, she doesn’t know how she could ever attend without her mami finding out. But she still can’t stop thinking about performing her poems.<br/>Because in the face of a world that may not want to hear her, Xiomara refuses to be silent.<br/>“Crackles with energy and snaps with authenticity and voice.” —Justina Ireland, author of Dread Nation<br/>“An incredibly potent debut.” —Jason Reynolds, author of the National Book Award Finalist Ghost<br/>“Acevedo has amplified the voices of girls en el barrio who are equal parts goddess, saint, warrior, and hero.” —Ibi Zoboi, author of American Street<br/>This young adult novel, a selection of the Schomburg Center's Black Liberation Reading List, is an excellent choice for accelerated tween readers in grades 6 to 8.<br/>Plus don't miss Elizabeth Acevedo's With the Fire on High and Clap When You Land!
Aciman, André;Call Me By Your Name (Call Me By Your Name Series);Virginia;Spotsylvania County Public Schools;Banned Pending Investigation;Nov.21;Contemporary;Please Note That The Following Individual Books As Per Original ISBN and Cover Image In this Listing shall be Dispatched<br/><br/>Call Me By Your Name Book Series 2 Books Collection Set By Andre<br/><br/>Call Me By Your<br/>Andre Aciman's Call Me by Your Name is the story of a sudden and powerful romance that blossoms between an adolescent boy and a summer guest at his parents’ cliffside mansion on the Italian Riviera. Each is unprepared for the consequences of their attraction, when, during the restless summer weeks.<br/><br/>Find<br/>In this spellbinding exploration of the varieties of love, the author of the worldwide bestseller Call Me by Your Name revisits its complex and beguiling characters decades after their first meeting.
Acito, Marc;How I Paid for College: A Novel of Sex, Theft, Friendship & Musical Theater (Edward Zanni Series);Florida;Indian River County School District;Banned Pending Investigation;Nov.21;Coming Of Age;A deliciously funny romp of a novel about one overly theatrical and sexually confused New Jersey teenager’s larcenous quest for his acting school tuition.<br/><br/>It’s 1983 in Wallingford, New Jersey, a sleepy bedroom community outside of Manhattan. Seventeen-year-old Edward Zanni, a feckless Ferris Bueller–type, is Peter Panning his way through a carefree summer of magic and mischief. The fun comes to a halt, however, when Edward’s father remarries and refuses to pay for Edward to study acting at Juilliard.<br/><br/>Edward’s truly in a bind. He’s ineligible for scholarships because his father earns too much. He’s unable to contact his mother because she’s somewhere in Peru trying to commune with Incan spirits. And, as a sure sign he’s destined for a life in the arts, Edward’s incapable of holding down a job. So he turns to his loyal (but immoral) misfit friends to help him steal the tuition money from his father, all the while practicing for his high school performance of Grease. Disguising themselves as nuns and priests, they merrily scheme their way through embezzlement, money laundering, identity theft, forgery, and blackmail. But, along the way, Edward also learns the value of friendship, hard work, and how you’re not really a man until you can beat up your father—metaphorically, that is.<br/><br/>How I Paid for College is a farcical coming-of-age story that combines the first-person tone of David Sedaris with the byzantine plot twists of Armistead Maupin. It is a novel for anyone who has ever had a dream or a scheme, and it marks the introduction to an original and audacious talent.
Ada, Alma Flor;My Name Is María Isabel;Florida;Duval County Public Schools;Banned Pending Investigation;Jan.22;Fiction;"For María Isabel Salazar López, the hardest thing about being the new girl in school is that the teacher doesn't call her by her real name. ""We already have two Marías in this class,"" says her teacher. ""Why don't we call you Mary instead?""<br/>But María Isabel has been named for her Papá's mother and for Chabela, her beloved Puerto Rican grandmother. Can she find a way to make her teacher see that if she loses her name, she's lost the most important part of herself?"
Addasi, Maha;Time to Pray;Florida;Duval County Public Schools;Banned Pending Investigation;Jan.22;Fiction;A visit with Grandmother in the Middle East is always special for Yasmin, but this time it is even more so in this picture book about faith and family.<br/><br/>On her first night visiting her grandmother, Yasmin is wakened by the muezzin at the nearby mosque calling the faithful to prayer. She watches from her bed as her grandmother prepares to pray. During her stay, Yasmin's grandmother makes her prayer clothes, buys her a prayer rug, and teaches her the five prayers that Muslims perform over the course of a day. When it's time for Yasmin to board a plane and return home, her grandmother gives her a present. When Yasmin opens the present when she gets home, she discovers a prayer clock in the shape of a mosque, with an alarm that sounds like a muezzin calling the faithful to prayer.<br/><br/>Maha Addasi's warm and endearing story, richly illustrated by Ned Gannon, is the recipient of an Arab American Book Award, Honor Book. Featuring text both in English and Arabic, this is a perfect title for children learning more about Middle Eastern cultures and language.
